source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
menzili,https://www.menzili.tn/annonce/appartement-avec-place-de-parking-sousse-hergla-148082,Appartement,,2025-10-22,Sousse,Hergla,sana.bensaleh@yahoo.com,4000,,Titre Individuel,Non,Non précisé,Moyen standing,,,Non,Non,Oui,Non,Oui,Non,1,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s-2-a-hammem-sousse-sousse-hammamsousse-148081,Appartement,280000,2025-10-22,Sousse,Hammam Sousse,Hammam Sousse,4011,100,Non,Non,Non précisé,Haut standing,2,1,Non,Non,Oui,Non,Oui,Non,2,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/location-appartement-avec-piscine-au-lac-2-tunis-lamarsa-148071,Appartement,5500,2025-10-21,Tunis,La Marsa,La Marsa,2070,300,Non,Non,Non précisé,Haut standing,3,1,Oui,Non,Oui,Oui,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/coquet-appartement-meuble-a-hammamet-nord-a-vendre-51355351-nabeul-hammametnord-148060,Appartement,195000,2025-10-21,Nabeul,Hammamet Nord,Hammamet Nord,8050,100,Non,Non,Non précisé,Non précisé,2,1,Non,Non,Oui,Non,Non,Non,2,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-50-m-de-la-plage-a-hammamet-a-vendre-51355351-nabeul-hammametcentre-148041,Appartement,630000,2025-10-21,Nabeul,Hammamet Centre,Hammamet Centre,8050,120,Non,Non,Non précisé,Moyen standing,3,1,Non,Non,Oui,Non,Oui,Oui,0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-148036,Appartement,,2025-10-20,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013,90,Non,Non,Non précisé,Moyen standing,2,1,Non,Oui,Oui,Non,Non,Non,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-a-vendre-a-boumhel-benarous-boumhel-148032,Appartement,150000,2025-10-20,Ben Arous,Boumhel,Résidence El Iklil SPROLS à Boumhel centre,2013,90,Non,Non,Non précisé,Non précisé,2,1,Non,Oui,Oui,Non,Oui,Oui,3,Non,Non,Non
menzili,https://www.menzili.tn/annonce/--appartement-de-reve-a-zahra-kelibia-nabeul-kelibia-148028,Appartement,265000,2025-10-20,Nabeul,hammem ghzez,ezzzahra,8000,78,Non,Oui,Non précisé,Luxe,1,1,Non,Non,Oui,Non,Non,Non,2,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s1-vue-mer-a-sidi-mahersi-nabeul-nabeul-nabeul-148025,Appartement,320000,2025-10-20,Nabeul,Nabeul,Nabeul,8000,58,Non,Oui,Neuf,Haut standing,1,1,Oui,Oui,Oui,Oui,Oui,Non,2,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-port-el-kantaoui-les-maisons-de-la-mer-sousse-hammamsousse-148019,Appartement,650000,2025-10-20,Sousse,Hammam Sousse,Hammam Sousse,4011,85,Non,Oui,Non précisé,Moyen standing,3,1,Non,Non,Oui,Oui,Oui,Oui,0,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/joli-appartement-s3-ariana-borjlouzir-147989,Appartement,,2025-10-18,Ariana,Borj Louzir,Behi ladgham,2073,120,Non,Non,Rénové,Haut standing,3,1,Oui,Non,Oui,Non,Oui,Non,2,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-rdc-a-vendre-a-hammamet-51355351-nabeul-hammametcentre-147967,Appartement,120000,2025-10-18,Nabeul,Hammamet Centre,Hammamet Centre,8050,50,Titre Individuel,Non,Non précisé,Non précisé,2,1,Non,Non,Oui,Non,Non,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-147958,Appartement,170000,2025-10-17,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013,90,Non,Non,Non précisé,Moyen standing,2,1,Non,Oui,Oui,Non,Non,Non,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-90-m-a-la-nouvelle-medina-benarous-medinajedida-147957,Appartement,210000,2025-10-17,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013,90,Non,Non,Non précisé,Moyen standing,2,1,Non,Oui,Oui,Non,Oui,Non,2,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s3-a-ezzahra-avec-jardin-et-terrasse-benarous-ezzahra-147923,Appartement,295000,2025-10-16,Ben Arous,Ezzahra,Ezzahra,2034,120,Non,Non,Non précisé,Moyen standing,3,1,Oui,Oui,Oui,Non,Oui,Oui,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-en-premiere-position-face-a-la-mer-corniche-mahdia-mahdia-mahdia-147910,Appartement,640000,2025-10-16,Mahdia,Mahdia,Mahdia,5100,113,Non,Oui,Non précisé,Moyen standing,2,3,Oui,Oui,Oui,Non,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-3-residence-aziz-ariana-lasoukra-147868,Appartement,,2025-10-15,Ariana,La Soukra,Rue du parc soukra Dar fadhal,2036,200,Non,Non,Non précisé,Non précisé,,,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vendre-appart-s-3-sfax-routesoukra-147866,Appartement,,2025-10-15,Sfax,Route Soukra,route soukra,2036,95,Oui,Non,Non précisé,Non précisé,4,1,Non,Non,Oui,Non,Non,Non,3,Oui,Oui,Non
menzili,https://www.menzili.tn/annonce/appartement-bien-equipe-ariana-borjlouzir-147852,Appartement,155000,2025-10-14,Ariana,Borj Louzir,Résidence semiramis immeuble chahrazed APP33 Borj,2073,105,Oui,Non,Rénové,Moyen standing,3,2,Non,Oui,Oui,Non,Oui,Oui,4,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-a-vendre-a-chott-mariem-sousse-akouda-147826,Appartement,230000,2025-10-14,Sousse,Akouda,chott mariem,4022,76,Non,Oui,Non précisé,Haut standing,2,1,Non,Non,Oui,Non,Non,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-bel-appartement-150-m-3-chambres-salon-quartier-complet-en-commodites-gafsa-gafsasud-147808,Appartement,,2025-10-13,Gafsa,école amor ben slimen 2,Moualla Gafsa,2100,150,Non,Non,Bon état,Moyen standing,3,2,Non,Oui,Oui,Non,Non,Non,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/un-appartement-a-ezzahra-a-louer-benarous-ezzahra-147807,Appartement,,2025-10-13,Ben Arous,Ezzahra,archicasaarchiwar@gmail.com,2034,,Non,Non,Non précisé,Haut standing,2,1,Oui,Non,Oui,Non,Oui,Non,,Oui,Oui,Non
menzili,https://www.menzili.tn/annonce/-A-louer-appartement-s-3-au-3eme-etage-a-residence-nour-2-el-ghazela-ariana-ghazela-147801,Appartement,1300,2025-10-13,Ariana,Ghazela,Ghazela,2080,,Non,Non,Non précisé,Haut standing,3,1,Oui,Non,Oui,Non,Oui,Non,3,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre--bel-appartement-s1-a-port-el-kantaoui-sousse-hammamsousse-147712,Appartement,350000,2025-10-09,Sousse,Hammam Sousse,Hammam Sousse,4011,48,Non,Non,Bon état,Moyen standing,1,,Oui,Oui,Oui,Non,Oui,Non,,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-la-marsa-tunis-lamarsa-147695,Appartement,350000,2025-10-08,Tunis,La Marsa,La Marsa,2070,150,Non,Non,Non précisé,Non précisé,2,3,Oui,Non,Oui,Non,Non,Non,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s2-avec-jardin-la-marsa-tunis-lamarsa-147694,Appartement,370000,2025-10-08,Tunis,La Marsa,La Marsa,2070,175,Non,Non,Bon état,Moyen standing,2,3,Oui,Non,Oui,Non,Non,Oui,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s1-a-2-min-de-la-plage-chraff-bekalta-monastir-bekalta-147685,Appartement,105000,2025-10-08,Monastir,Bekalta,Bekalta,5014,62,Non,Non,Non précisé,Non précisé,1,1,Non,Oui,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/s-3-haut-standing-neuf-a-vendre-a-cite-taamir-emplacement-strategique-sur-rue-principale-sousse-sousseriadh-147651,Appartement,250000,2025-10-07,Sousse,Sousse Riadh,Sousse Riadh,4000,100,Non,Oui,Neuf,Haut standing,3,1,Oui,Non,Oui,Non,Oui,Non,1,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s2-laaouina-tunis-lamarsa-147631,Appartement,236000,2025-10-07,Tunis,La Marsa,La Marsa,2070,100,Titre Individuel,Non,Non précisé,Haut standing,2,1,Non,Oui,Oui,Non,Oui,Non,5,Non,Non,Non
menzili,https://www.menzili.tn/annonce/magnifique-appartement-a-el-maamoura-nabeul-benikhiar-140120,Appartement,255000,2025-02-27,Nabeul,Béni Khiar,Rue de Caire maamoura nabeul,8000,110,Non,Non,Non précisé,Non précisé,3,2,Non,Non,Oui,Non,Non,Non,1,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/A-louer-bel-appartement-s1-bien-meuble-avec-vue-magnifique-sur-le-port-port-el-kantaoui-sousse-hammamsousse-147618,Appartement,1300,2025-10-06,Sousse,Hammam Sousse,Hammam Sousse,4011,55,Non,Non,Non précisé,Moyen standing,1,1,Non,Oui,Oui,Non,Oui,Non,1,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-meuble-avec-vue-mer-residence-avec-piscines-sousse-akouda-147614,Appartement,465000,2025-10-06,Sousse,Akouda,Akouda,4022,95,Non,Oui,Non précisé,Haut standing,2,1,Non,Oui,Oui,Non,Oui,Non,3,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s4-soukra-ariana-lasoukra-147603,Appartement,380000,2025-10-06,Ariana,La Soukra,La Soukra,2036,140,Titre Individuel,Non,Non précisé,Haut standing,4,1,Oui,Non,Oui,Non,Oui,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/vente-s-3-a-manouba-manouba-manoubaville-147588,Appartement,260000,2025-10-06,Manouba,Manouba Ville,Manouba,2010,129,Oui,Non,Non précisé,Haut standing,3,2,Oui,Oui,Oui,Non,Oui,Oui,2,Oui,Oui,Oui
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-130m-200m-de-la-plage-nabeul-kelibia-147571,Appartement,200000,2025-10-05,Nabeul,Kélibia,Cité Al-Fatha 200 m de la plage,8000,130,Non,Non,Non précisé,Non précisé,2,1,Non,Non,Oui,Non,Non,Non,1,Non,Non,Non
menzili,https://www.menzili.tn/annonce/un-appartement-s-2-de-115-m-a-la-nouvelle-medina-benarous-medinajedida-147530,Appartement,,2025-10-04,Ben Arous,Ben Arous,nouvelle Medina,2013,115,Non,Non,Non précisé,Moyen standing,2,1,Non,Non,Oui,Non,Oui,Non,2,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-85m-a-afh-mrezga-nabeul-nabeul-nabeul-147512,Appartement,321000,2025-10-03,Nabeul,Nabeul,Nabeul,8000,85,Non,Non,Non précisé,Haut standing,2,1,Oui,Oui,Oui,Oui,Oui,Non,1,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/-s-1-a-kantaoui-direct-promoteur-pres-de-la-mer-sousse-kantaoui-147505,Appartement,298000,2025-10-03,Sousse,Kantaoui,rue Hassen ben said 4051 khzema ouest,4089,67,Non,Non,Non précisé,Haut standing,1,1,Non,Non,Oui,Oui,Oui,Non,,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s-2-de-100-m-a-la-nouvelle-medina-benarous-medinajedida-147502,Appartement,,2025-10-03,Ben Arous,Medina Jedida,milogimmobilier@gmail.com,2013,100,Non,Non,Non précisé,Moyen standing,2,1,Oui,Oui,Oui,Non,Non,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/-s-2-a-cite-riadh-sousse-sousseriadh-147473,Appartement,271000,2025-10-02,Sousse,bouhsina,sousse,4000,9035,Non,Non,Non précisé,Haut standing,2,1,Non,Non,Oui,Non,Oui,Non,1,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/A-vendre-studio-s0-a-chatt-mariem-pres-de-la-plage-sousse-akouda-147451,Appartement,136000,2025-10-01,Sousse,Akouda,Akouda,4022,16,Titre Bleu,Non,Non précisé,Haut standing,1,1,Non,Non,Oui,Oui,Non,Oui,2,Non,Non,Non
menzili,https://www.menzili.tn/annonce/a-vendre-appartement-s2-a-centre-ville-de-nabeul-nabeul-nabeul-147409,Appartement,280000,2025-09-30,Nabeul,Nabeul,Nabeul,8000,106,Oui,Non,Non précisé,Haut standing,2,,Oui,Oui,Oui,Non,Oui,Non,1,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartemnt-s-1-rc-lafayette-tunis-centrevillelafayette-147408,Appartement,150000,2025-09-30,Tunis,Centre Ville - Lafayette,RUE DE IRAN LAFAYETTE,1000,70,Non,Non,Non précisé,Non précisé,2,2,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147401,Appartement,250000,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080,110,Titre Individuel,Non,Neuf,Moyen standing,3,,Non,Oui,Oui,Non,Oui,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147400,Appartement,250000,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080,110,Titre Individuel,Non,Neuf,Moyen standing,3,,Non,Oui,Oui,Non,Oui,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s3-ariana-ariana-arianaville-147399,Appartement,250000,2025-09-30,Ariana,Ariana Ville,Ariana Ville,2080,110,Titre Individuel,Non,Neuf,Moyen standing,3,,Non,Oui,Oui,Non,Oui,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s2-morneg-benarous-mornag-147397,Appartement,270000,2025-09-30,Ben Arous,Mornag,Mornag,2090,117,Non,Non,Non précisé,Haut standing,2,1,Oui,Oui,Oui,Non,Oui,Non,3,Non,Non,Non
menzili,https://www.menzili.tn/annonce/--A-vendre-charmant-duplex-de-82-m-a-el-ghazela-ariana-ghazela-147381,Appartement,240000,2025-09-29,Ariana,Ghazela,Ghazela,2080,82,Non,Non,Non précisé,Non précisé,2,,Non,Oui,Oui,Non,Non,Non,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/opportunite-a-la-manouba-charmant-s-3-a-vendre-dans-emplacement-ideal-manouba-manoubaville-147346,Appartement,195000,2025-09-28,Manouba,Manouba Ville,Manouba Ville,2010,104,Non,Non,Bon état,Non précisé,3,1,Non,Non,Oui,Non,Oui,Non,2,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-3-a-vendre-el-manar-1-ariana-menzah-147332,Appartement,250000,2025-09-27,Ariana,Menzah,El Manar 1,1004,80,Non,Non,Bon état,Non précisé,3,1,Non,Non,Oui,Non,Non,Non,2,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/-s-2-a-bouhsina-avec-place-de-parking-sousse-soussejawhara-147303,Appartement,270000,2025-09-27,Sousse,Sousse Jawhara,Sousse Jawhara,4000,110,Non,Non,Non précisé,Non précisé,2,1,Non,Non,Oui,Non,Non,Non,,Oui,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-1-afh-mrezga-nabeul-mrezga-147293,Appartement,245000,2025-09-27,Nabeul,Mrezga,Cité el Wafa afh2 mrezga,8058,65,Oui,Non,Non précisé,Haut standing,1,1,Non,Non,Oui,Oui,Oui,Oui,6,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/a-vendre-immeuble-de-4-etage-2-studios-ariana-raoued-147282,Appartement,1250000,2025-09-26,Ariana,Raoued,Marsa,2083,660,Non,Oui,Neuf,Moyen standing,10,4,Non,Non,Oui,Non,Oui,Oui,0,Non,Non,Non
menzili,https://www.menzili.tn/annonce/appartement-s-1-avec-vue-de-mer-a-hammamet-a-vendre-51355351-nabeul-hammametcentre-147272,Appartement,320000,2025-09-26,Nabeul,Hammamet Centre,Hammamet Centre,8050,76,Titre Individuel,Oui,Non précisé,Haut standing,1,1,Non,Non,Oui,Non,Oui,Non,2,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/bel-appartement-s-2-a-vendre-a-yasmine-hammamet-51355351-nabeul-hammametsud-147259,Appartement,365000,2025-09-26,Nabeul,Hammamet Sud,Hammamet Sud,8050,114,Non,Non,Non précisé,Haut standing,2,1,Non,Non,Oui,Oui,Oui,Oui,1,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/coquet-appartement-meuble-a-hammamet-nord-a-vendre-51355351-nabeul-hammametnord-147241,Appartement,195000,2025-09-25,Nabeul,Hammamet Nord,Hammamet Nord,8050,100,Non,Non,Non précisé,Moyen standing,2,1,Non,Non,Oui,Non,Oui,Non,2,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s2-vue-mer-a-sidi-mahersi-nabeul-nabeul-nabeul-147213,Appartement,443000,2025-09-24,Nabeul,Nabeul,Nabeul,8000,81,Non,Oui,Neuf,Luxe,2,2,Oui,Oui,Oui,Oui,Oui,Non,3,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-s2-avec-terrasse-vue-mer-a-sidi-mahersi-nabeul-nabeul-nabeul-147211,Appartement,509000,2025-09-24,Nabeul,Nabeul,Nabeul,8000,120,Non,Oui,Neuf,Luxe,2,2,Oui,Oui,Oui,Oui,Oui,Non,3,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/des-appartements-s-2-a-vendre-a-yasmine-hammamet-51355351-nabeul-hammametsud-147207,Appartement,450000,2025-09-24,Nabeul,Hammamet Sud,Hammamet Sud,8050,120,Oui,Oui,Neuf,Haut standing,2,1,Non,Non,Oui,Oui,Oui,Oui,,Non,Non,Oui
menzili,https://www.menzili.tn/annonce/bel-appartement-s-3-vue-de-mer-a-vendre-a-nabeul-51355351-nabeul-nabeul-147198,Appartement,450000,2025-09-24,Nabeul,Nabeul,Nabeul,8000,125,Non,Oui,Non précisé,Haut standing,3,2,Non,Non,Oui,Non,Oui,Oui,3,Oui,Non,Oui
menzili,https://www.menzili.tn/annonce/appartement-monastir-sahline-147195,Appartement,,2025-09-24,Monastir,Sahline,Avenue ALI BALHOUANE SAHLINE 5012,5012,90,Non,Non,Non précisé,Non précisé,,1,Non,Non,Oui,Non,Non,Non,,Non,Non,Non
menzili,https://www.menzili.tn/annonce/A-vendre-appartement-s-3-au-rdc-ariana-ariana-arianaville-147191,Appartement,,2025-09-23,Ariana,Ariana Ville,Ariana Ville,2080,120,Non,Non,Non précisé,Moyen standing,3,,Oui,Non,Oui,Non,Oui,Non,0,Non,Non,Oui
